Delta_ref,affected_mask_available,affected_region_available,affected_time_span_available,codex_valid_preference,contact_sheet,corruption_type,localdpo_status,locality_level,pair_id,reward_margin,source_pair_id
0.01144854724407196,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local.jpg,background_drift_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_001_001_02200_collision_orbit_right_64_seed41200_background_drift_local,0.18,protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local
0.019627079367637634,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local.jpg,wrong_camera_motion_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_002_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,0.19999999999999998,protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local
0.023501377552747726,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local.jpg,object_deformation_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_003_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,0.22,protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local
0.00760408490896225,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local.jpg,object_identity_change_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,0.24,protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local
0.022545889019966125,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze.jpg,partial_freeze,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,0.18,protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze
0.00939827412366867,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure.jpg,physical_event_local_failure,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,0.19999999999999998,protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure
0.013886384665966034,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local.jpg,background_drift_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,0.22,protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local
0.00571475550532341,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local.jpg,wrong_camera_motion_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,0.24,protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local
0.011354699730873108,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local.jpg,object_deformation_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_009_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,0.26,protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local
0.013059079647064209,True,True,True,True,reports/dpo_preference_protocol_v1/pair_contact_sheets/protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local.jpg,object_identity_change_local,LOCALDPO_METADATA_READY,spatial_and_time,protocol_v2_A_010_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,0.18,protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local
