pair_id,condition_id,pair_type,source,failure_type,template,camera_motion,winner_visual_quality,loser_visual_quality,background_stability_winner,background_stability_loser,camera_following_winner,camera_following_loser,foreground_identity_winner,foreground_identity_loser,object_deformation_winner,object_deformation_loser,physical_event_winner,physical_event_loser,reobserve_winner,reobserve_loser,too_subtle,too_artificial,too_easy,too_hard,too_blurry,too_collapsed,winner_bad,medium_hard,human_visible,is_dpo_ready,written_reason,reviewer,reviewed,contact_sheet_path
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,v6b_01014_drop_orbit_left_72_seed40014,GT_C,,event_extra_objects,drop,orbit_left_72,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=event_extra_objects, reward_margin=0.202, sharpness_ratio=0.198.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.jpg
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,GT_C,,event_missing_or_fragments,roll,orbit_right_60,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=event_missing_or_fragments, reward_margin=0.200, sharpness_ratio=0.148.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_002_03410_roll_orbit_right_60_seed42410.jpg
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,GT_C,,physical_event_fragments,roll,orbit_right_60,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=physical_event_fragments, reward_margin=0.162, sharpness_ratio=0.129.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.jpg
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,GT_C,,containment_failure,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.171, sharpness_ratio=0.285.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.jpg
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,GT_C,,containment_failure,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.265, sharpness_ratio=0.456.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_005_04209_containment_orbit_left_44_seed43209.jpg
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,GT_C,,foreground_identity_event,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_event, reward_margin=0.199, sharpness_ratio=0.353.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_006_04214_containment_orbit_left_44_seed43214.jpg
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,GT_C,,containment_failure,containment,orbit_left_44,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=containment_failure, reward_margin=0.353, sharpness_ratio=0.729.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.jpg
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,v6b_01029_drop_orbit_left_72_seed40029,GT_C,,foreground_identity_extra_objects,drop,orbit_left_72,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_extra_objects, reward_margin=0.197, sharpness_ratio=0.285.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.jpg
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,v6b_01032_drop_orbit_left_72_seed40032,GT_C,,foreground_identity_extra_objects,drop,orbit_left_72,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=foreground_identity_extra_objects, reward_margin=0.172, sharpness_ratio=0.293.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.jpg
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,v6b_02276_collision_orbit_right_64_seed41276,GT_C,,collision_event_failure,collision,orbit_right_64,2,1,2,1,2,1,2,1,2,1,2,1,2,1,False,False,False,False,False,False,False,True,True,True,"Contact sheet reviewed: prior v10b strict-ready pair retained after v11 audit; failure=collision_event_failure, reward_margin=0.152, sharpness_ratio=0.099.",codex,True,reports/dpo_pair_factory_v11/contact_sheets/v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.jpg
