rank_source,pair_id,status,error_reason,Delta_ref,pair_weight,E_ref_winner_cached,E_ref_loser_cached,actual_sigma,timestep,same_seed_noise_id,cache_tensor_path,sha256,used_window_frames,prefix_len,prediction_start_frame,reviewed,dpo_ready,main_failure,written_reason
0,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,PASS,,0.06777375936508179,0.5,0.7446877360343933,0.8124614953994751,0.34955453872680664,349.5545349121094,1234,000_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014.pt,5cc42fae0e53be7d9f183f88037b092499f731fc07809982fc67a796b2be8374,49,5,5,True,True,event_extra_objects,"clear drop/event failure with extra objects, readable and not collapsed"
1,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,PASS,,-0.0973658561706543,0.1,0.8939808011054993,0.796614944934845,0.34955453872680664,349.5545349121094,2231,001_v6b_GT_C_009_01032_drop_orbit_left_72_seed40032.pt,c17a4c2eb637d225539a0a4ae6774d989f2e21c1c25ef330f570afd5eef8d082,49,5,5,True,True,foreground_identity_extra_objects,drop scene has visible multi-object hallucination and event mismatch
2,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,PASS,,-0.015548169612884521,0.1,0.8004783987998962,0.7849302291870117,0.34955453872680664,349.5545349121094,3228,002_v6b_GT_C_008_01029_drop_orbit_left_72_seed40029.pt,6c11fbcada5b4a795895a5169e415792d096e230fa08c4e51b02243067d223c9,49,5,5,True,True,foreground_identity_extra_objects,"drop scene has clear extra colored objects/fragments, not blur-driven"
3,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,PASS,,0.16333919763565063,1.140273809069318,0.8453183770179749,1.0086575746536255,0.34955453872680664,349.5545349121094,4225,003_v6b_GT_C_012_02284_collision_orbit_right_64_seed41284.pt,d55c8caec00b8d66abefd8ecd817d039cb07ff3b6b511b8c28c9b3d452ae2256,49,5,5,True,True,collision_extra_objects,collision scene has clear extra objects and event mismatch
4,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,PASS,,0.2931232452392578,2.0,0.7487576007843018,1.0418808460235596,0.34955453872680664,349.5545349121094,5222,004_v6b_GT_C_011_02276_collision_orbit_right_64_seed41276.pt,a10af6ed6e903cd86c96a677997a877f6a5a1bd5fb83101495d4cdbb537eff91,49,5,5,True,True,collision_event_failure,collision event is readable with bounded object/state error
5,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,PASS,,0.17048639059066772,1.190168488686576,0.7926092147827148,0.9630956053733826,0.34955453872680664,349.5545349121094,6219,005_v6b_GT_C_014_03437_roll_orbit_right_60_seed42437.pt,d5431c493d0fb28fcf0fe01fb55790947c0ce9fb82b498a568d60392783246cc,49,5,5,True,True,roll_identity_event,roll object identity/state differs visibly without blur/collapse
6,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,PASS,,0.1305106282234192,0.911096989103041,0.7354840040206909,0.8659946322441101,0.34955453872680664,349.5545349121094,7216,006_v6b_GT_C_013_03435_roll_orbit_right_60_seed42435.pt,c058fdd639c8a83f5aba8d50a21181c3589f607a7ba93b60ff1388ec3f72737d,49,5,5,True,True,roll_identity_event,roll object trajectory/identity diverges while video remains clear
7,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,PASS,,0.12737005949020386,0.8891726235869598,0.7117257118225098,0.8390957713127136,0.34955453872680664,349.5545349121094,8213,007_v6b_GT_C_003_03418_roll_orbit_right_60_seed42418.pt,89cd5a84e4ad75104872af0d9039e74f9a884fd55a1cb0097ad373335dcd9d3b,49,5,5,True,True,physical_event_fragments,roll event remains clear but has fragments and physical-event mismatch
8,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,PASS,,0.15337586402893066,1.0707196020742222,0.9873882532119751,1.1407641172409058,0.34955453872680664,349.5545349121094,9210,008_v6b_GT_C_004_04204_containment_orbit_left_44_seed43204.pt,71245286055e546f630c55d5a915722202c1e12871b5073d897a387fbd73fc86,49,5,5,True,True,containment_failure,containment scene clear with extra/incorrect object state
9,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,PASS,,0.039985597133636475,0.5,0.7728785276412964,0.8128641247749329,0.34955453872680664,349.5545349121094,10207,009_v6b_GT_C_007_04228_containment_orbit_left_44_seed43228.pt,407e09272d72c3b1aa5273da82c38868021f3a3a57edb4a0ac6fb05e5cf56a44,49,5,5,True,True,containment_failure,clear containment/foreground mismatch without collapse
