pair_id,sample_id,template,camera_variant,model,video_path,loser_width,loser_height,loser_fps,loser_num_frames,loser_codec,loser_bitrate,loser_file_size_mb,mean_laplacian_sharpness,median_laplacian_sharpness,temporal_blur_proxy,brightness_mean,contrast_std,winner_sharpness,loser_sharpness,sharpness_ratio,R_quality,R_total,reward_margin,Delta_ref,visual_quality_score_from_codex,failure_tags,should_drop_for_blur
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,prefix5_anchored_1128e39109fc83_object_deformation,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_1128e39109fc83_object_deformation_stageA_final_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.10009658336639404,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_002_prefix5_anchored_1279c3b65a6d9e_object_identity_change_stageA_final,prefix5_anchored_1279c3b65a6d9e_object_identity_change,containment,orbit_left_44,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_1279c3b65a6d9e_object_identity_change_stageA_final_future.mp4,832,480,16.0,76,,,1.9384117126464844,143.64034342823365,143.993119065296,8.570064109304678,77.57637929019765,68.82288358004469,748.7610598641504,143.64034342823365,0.19183735790733386,0.9748152736070994,0.6632219516384528,0.33677804836154723,0.0660821795463562,2,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,True
protocol_v1_B_003_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_stageA_final,prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_stageA_final_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.04315667599439621,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_004_prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_stageA_final,prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch,containment,orbit_left_44,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_29df7c5cf94c4b_reobserve_mismatch_stageA_final_future.mp4,832,480,16.0,76,,,1.9384117126464844,143.64034342823365,143.993119065296,8.570064109304678,77.57637929019765,68.82288358004469,748.7610598641504,143.64034342823365,0.19183735790733386,0.9748152736070994,0.6632219516384528,0.33677804836154723,0.08167500793933868,2,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,True
protocol_v1_B_005_prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_stageA_final,prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_3e28b01a2ca2ef_reobserve_mismatch_stageA_final_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.07380025833845139,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,prefix5_anchored_525c18bc4422f0_background_drift,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_525c18bc4422f0_background_drift_stageA_final_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.09552425891160965,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_007_prefix5_anchored_7f708dfe212ad6_freeze_foreground_stageA_final,prefix5_anchored_7f708dfe212ad6_freeze_foreground,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_7f708dfe212ad6_freeze_foreground_stageA_final_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.07681088149547577,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,prefix5_anchored_95981b8f74bed0_background_drift,containment,orbit_left_44,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts_accel/final_tail08_15/videos/prefix5_anchored_95981b8f74bed0_background_drift_stageA_final_tail_future.mp4,832,480,16.0,76,,,1.9384117126464844,143.64034342823365,143.993119065296,8.570064109304678,77.57637929019765,68.82288358004469,748.7610598641504,143.64034342823365,0.19183735790733386,0.9748152736070994,0.6632219516384528,0.33677804836154723,0.11708655208349228,2,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,True
protocol_v1_B_009_prefix5_anchored_b53591379e11c1_object_deformation_stageA_final,prefix5_anchored_b53591379e11c1_object_deformation,collision,orbit_right_64,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts_accel/final_tail08_15/videos/prefix5_anchored_b53591379e11c1_object_deformation_stageA_final_tail_future.mp4,832,480,16.0,76,,,1.2072649002075195,58.13176090781087,46.518224862347616,6.121430365935616,103.32142553084937,82.33569537453748,1190.9648030656062,58.13176090781087,0.048810645585979244,0.7900634062710914,0.6948138754782694,0.30518612452173055,0.08621502295136452,2,event_missing;object_duplicate;object_identity_change,True
protocol_v1_B_010_prefix5_anchored_d744c2d6f264ba_object_deformation_stageA_final,prefix5_anchored_d744c2d6f264ba_object_deformation,containment,orbit_left_44,stageA_final,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/stageA_v2v5_20260627/rollouts/final/videos/prefix5_anchored_d744c2d6f264ba_object_deformation_stageA_final_future.mp4,832,480,16.0,76,,,1.9384117126464844,143.64034342823365,143.993119065296,8.570064109304678,77.57637929019765,68.82288358004469,748.7610598641504,143.64034342823365,0.19183735790733386,0.9748152736070994,0.6632219516384528,0.33677804836154723,0.08626076579093933,2,event_missing;object_duplicate;object_identity_change;physical_event_failure;wrong_camera_motion,True
