pair_id,pair_source,pair_type,failure_type,blocker_reasons,missing_fields
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,other,GT_C,event_extra_objects,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,other,GT_C,event_missing_or_fragments,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,other,GT_C,physical_event_fragments,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,other,GT_C,containment_failure,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,other,GT_C,containment_failure,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,other,GT_C,foreground_identity_event,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,other,GT_C,containment_failure,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,other,GT_C,foreground_identity_extra_objects,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,other,GT_C,foreground_identity_extra_objects,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,other,GT_C,collision_event_failure,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,other,GT_C,collision_extra_objects,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,other,GT_C,roll_identity_event,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,other,GT_C,roll_identity_event,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,other,GT_C,containment_extra_objects,missing_loser_video,prefix_existing;loser_video
v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,other,GT_C,containment_extra_objects,missing_loser_video,prefix_existing;loser_video
v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_066_01013_drop_orbit_left_72_seed40013_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_065_01008_drop_orbit_left_72_seed40008_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_064_01002_drop_orbit_left_72_seed40002_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_072_01039_drop_orbit_left_72_seed40039_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_075_01079_drop_orbit_left_72_seed40079_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_074_01060_drop_orbit_left_72_seed40060_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_073_01047_drop_orbit_left_72_seed40047_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_076_01086_drop_orbit_left_72_seed40086_local_temporal_jump,synthetic_controlled,TypeM_v10_synthetic_visible,local_temporal_jump,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_079_01108_drop_orbit_left_72_seed40108_foreground_identity_color_shift,synthetic_controlled,TypeM_v10_synthetic_visible,foreground_identity_color_shift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_078_01102_drop_orbit_left_72_seed40102_local_patch_drift,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_drift,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
v10_TypeM_077_01101_drop_orbit_left_72_seed40101_local_patch_freeze,synthetic_controlled,TypeM_v10_synthetic_visible,local_patch_freeze,missing_loser_video;prefix_not_recoverable;winner_not_recoverable,prefix_existing;prefix_recoverable;winner_existing;winner_recoverable;loser_video
