pair_id,pair_type,sample_id,condition_id,template,camera_motion,winner_source,loser_source,winner_reward,loser_reward,reward_margin,sharpness_ratio_loser,main_failure,status,dpo_ready,written_reason,winner_video,loser_video,prefix_video
v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,GT_C,01014_drop_orbit_left_72_seed40014,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,clean_gt_future,C_camera_self_temporal_r4,1.0,0.742494,0.257506,1.086457,event_extra_objects,dpo_ready_gt_c,True,"clear drop/event failure with extra objects, readable and not collapsed",local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4
v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,GT_C,03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,clean_gt_future,C_camera_self_temporal_r4,1.0,0.729372,0.270628,1.02703,event_missing_or_fragments,dpo_ready_gt_c,True,roll event has readable extra fragments/object trajectory mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03410_roll_orbit_right_60_seed42410_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03410_roll_orbit_right_60_seed42410/prefix_len5.mp4
v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,GT_C,03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,clean_gt_future,C_camera_self_temporal_r4,1.0,0.786585,0.213415,0.912503,physical_event_fragments,dpo_ready_gt_c,True,roll event remains clear but has fragments and physical-event mismatch,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4
v6b_B_C_003_03418_roll_orbit_right_60_seed42418,B_C,03418_roll_orbit_right_60_seed42418,v6b_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,B_camera_r8,C_camera_self_temporal_r4,0.78739,0.786585,0.000805,0.912503,physical_event_fragments,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/03418_roll_orbit_right_60_seed42418_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4
v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,GT_C,04204_containment_orbit_left_44_seed43204,v6b_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.761031,0.238969,2.038958,containment_failure,dpo_ready_gt_c,True,containment scene clear with extra/incorrect object state,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4
v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,GT_C,04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.778366,0.221634,2.514267,containment_failure,dpo_ready_gt_c,True,"containment outcome differs clearly, readable, not blur-driven",local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4
v6b_B_C_005_04209_containment_orbit_left_44_seed43209,B_C,04209_containment_orbit_left_44_seed43209,v6b_04209_containment_orbit_left_44_seed43209,containment,orbit_left_44,B_camera_r8,C_camera_self_temporal_r4,0.784971,0.778366,0.006605,2.514267,containment_failure,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/04209_containment_orbit_left_44_seed43209_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04209_containment_orbit_left_44_seed43209/prefix_len5.mp4
v6b_GT_C_006_04214_containment_orbit_left_44_seed43214,GT_C,04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.741737,0.258263,1.260031,foreground_identity_event,dpo_ready_gt_c,True,object/event state visibly differs while scene remains readable,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4
v6b_B_C_006_04214_containment_orbit_left_44_seed43214,B_C,04214_containment_orbit_left_44_seed43214,v6b_04214_containment_orbit_left_44_seed43214,containment,orbit_left_44,B_camera_r8,C_camera_self_temporal_r4,0.744699,0.741737,0.002962,1.260031,foreground_identity_event,candidate_b_c_reward_positive,False,B>C candidate recorded but GT>C remains preferred winner for v6b,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/04214_containment_orbit_left_44_seed43214_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04214_containment_orbit_left_44_seed43214_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04214_containment_orbit_left_44_seed43214/prefix_len5.mp4
v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,GT_C,04228_containment_orbit_left_44_seed43228,v6b_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,clean_gt_future,C_camera_self_temporal_r4,1.0,0.746935,0.253065,1.921363,containment_failure,dpo_ready_gt_c,True,clear containment/foreground mismatch without collapse,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4
