scheme_id,objective,scope,steps_recorded,last_step,winner_improvement_post_mean50,winner_improvement_post_final,loser_degradation_post_mean50,winner_contribution_ratio_post_mean50,loser_dominance_mean50,dpo_loss_mean50,dpo_loss_final,u_clipped_mean50,decision,reason,csv_path
S01_winner_detached_pref_low,winner_detached_pref_low,L0_camera_r4,53,52,0.0005808174610137939,0.0014492273330688477,-0.00052140474319458,0.9542738120644342,0.005586874869453209,0.6931455254554748,0.693137526512146,5.9412717819213866e-05,DPO_RECIPE_VIDEO_METRIC_FAIL,Training signal reached checkpoint eval but video/metric gate failed.,reports/dpo_objective_search_v13b/S01_winner_detached_pref_low/S01_winner_detached_pref_low_200step.csv
S02_winner_detached_pref_lower_lr,winner_detached_pref_lower_lr,L0_camera_r4,54,53,0.00019512534141540526,0.00029265880584716797,-0.00017426133155822753,0.8764944013781224,0.003382942956630629,0.6931458401679993,0.6931450963020325,2.0864009857177736e-05,DPO_RECIPE_TRAINING_SIGNAL_ONLY_OR_INCOMPLETE,Derived from CSV only.,reports/dpo_objective_search_v13b/S02_winner_detached_pref_lower_lr/S02_winner_detached_pref_lower_lr_200step.csv
S03,winner_detached_pref_earlystop_best,L0_camera_r4,61,60,0.0008210718631744384,0.0018996596336364746,-0.0007587933540344239,1.0,0.0,0.6931453728675843,0.6931397914886475,6.227850914001464e-05,DPO_RECIPE_TRAINING_SIGNAL_ONLY_NO_SIGNAL_PREF_BRANCH,"S03 reached the 50-row gate with positive winner anchor and low loser dominance, but DPO loss stayed near 0.693 and preference utility remained near zero. Not eligible for checkpoint eval or scaling.",reports/dpo_objective_search_v13b/S03/S03_200step.csv
S04_no_lose_gap_normalized_win_only,no_lose_gap_normalized_win_only,L0_camera_r4,50,49,0.00047819852828979493,0.001060187816619873,-0.0004065406322479248,0.9045333207642386,0.03519690649948626,5.998280394123867e-06,0.0,7.165789604187012e-05,DIAGNOSTIC_WINNER_ONLY_NOT_DPO,"Winner-only diagnostic, not DPO.",reports/dpo_objective_search_v13b/S04_no_lose_gap_normalized_win_only/S04_no_lose_gap_normalized_win_only_200step.csv
S05_normalized_clipped_loser_alpha005,normalized_clipped_loser_alpha005,L0_camera_r4,50,49,0.00048123598098754884,0.0010527372360229492,-0.00041543960571289063,0.96,0.0,0.6931197106838226,0.6930893659591675,6.579637527465821e-05,DPO_RECIPE_VIDEO_METRIC_FAIL,Training signal reached checkpoint eval but video/metric gate failed.,reports/dpo_objective_search_v13b/S05_normalized_clipped_loser_alpha005/S05_normalized_clipped_loser_alpha005_200step.csv
S06_normalized_clipped_loser_alpha010,normalized_clipped_loser_alpha010,L0_camera_r4,53,52,0.0005299139022827148,0.0013907551765441895,-0.000468829870223999,0.9490855159589933,0.010710903117801672,0.6931165599822998,0.6930621862411499,6.108403205871582e-05,DPO_RECIPE_TRAINING_SIGNAL_ONLY_NO_SIGNAL_PREF_BRANCH,"winner anchor improves and loser is not dominant, but DPO loss remains near 0.693 and preference utility is near zero over 50 rows; not eligible for checkpoint eval or scaling.",reports/dpo_objective_search_v13b/S06_normalized_clipped_loser_alpha010/S06_normalized_clipped_loser_alpha010_200step.csv
S07_linear_winner_detached,linear_winner_detached,L0_camera_r4,51,50,0.0005066943168640137,0.0013911724090576172,-0.00046470165252685545,0.9572460804362645,0.002653279674691258,-4.599094390869141e-05,-0.0001963973045349121,4.19926643371582e-05,DPO_RECIPE_VIDEO_METRIC_FAIL,Training signal reached checkpoint eval but video/metric gate failed.,reports/dpo_objective_search_v13b/S07_linear_winner_detached/S07_linear_winner_detached_200step.csv
S08_delayed_loser_gradient_tiny,delayed_loser_gradient_tiny,L0_camera_r4,51,50,0.0005178213119506836,0.0013676285743713379,-0.0004663383960723877,0.9333870431253353,0.006406636597186552,0.6931350111961365,0.6931129693984985,5.14829158782959e-05,DPO_RECIPE_TRAINING_SIGNAL_ONLY_OR_INCOMPLETE,Derived from CSV only.,reports/dpo_objective_search_v13b/S08_delayed_loser_gradient_tiny/S08_delayed_loser_gradient_tiny_200step.csv
S09_local_time_mask_winner_detached,local_time_mask_winner_detached,L0_camera_r4,53,52,0.0006031632423400879,0.0015161633491516113,-0.0005163621902465821,0.9743948467442717,0.00543140771850564,0.6931459355354309,0.6931403279304504,8.680105209350586e-05,DPO_RECIPE_TRAINING_SIGNAL_ONLY_NO_SIGNAL_PREF_BRANCH,"winner anchor improves and loser is not dominant, but DPO loss remains near 0.693 and preference utility is near zero over 50 rows; not eligible for checkpoint eval or scaling.",reports/dpo_objective_search_v13b/S09_local_time_mask_winner_detached/S09_local_time_mask_winner_detached_200step.csv
S10_lora_camera_temporal_winner_detached,lora_camera_temporal_winner_detached,L2_camera_temporal_r4,18,17,6.014108657836914e-05,-0.00010627508163452148,-9.543365902370877e-06,0.6166149127605528,0.15953100057736444,0.6931461890538534,0.6931539177894592,5.0597720675998265e-05,DPO_RECIPE_TRAINING_SIGNAL_FAIL_WINNER_FINAL_NEGATIVE,"Corrected after noticing S10 writes a 100step CSV. S10 produced 18 rows, but final winner_improvement_post was negative, DPO loss stayed near 0.693, and recent rows included repeated WINNER_WORSE flags. Not eligible for checkpoint eval or scaling.",reports/dpo_objective_search_v13b/S10_lora_camera_temporal_winner_detached/S10_lora_camera_temporal_winner_detached_100step.csv
