phase,requirement,status,evidence,detail,next_action
phase0_prd,PRD written before execution,PASS,docs/experiments/EXP_physeditworld_50h_prompt_gravity_lingbotfast.md,file exists,
phase0_prd,current status document,PASS,docs/physeditworld_50h_current_status.md,file exists,
phase0_migration,environment export,PASS,reports/migration/environment_no_builds.yml,file exists,
phase0_migration,pip freeze export,PASS,reports/migration/pip_freeze.txt,file exists,
phase0_migration,migration audit collector wrapper,PASS,scripts/migration/collect_physeditworld_migration_audit_bundle.sh,file exists,
phase0_migration,required weights manifest,PASS,reports/migration/required_weights_manifest.tsv,file exists,
phase0_migration,required data manifest,PASS,reports/migration/required_data_manifest.tsv,file exists,
phase0_migration,guarded dry-run rsync script,PASS,scripts/migration/rsync_h20_to_pai_dryrun.sh,file exists,
phase0_migration,guarded execute rsync script,PASS,scripts/migration/rsync_h20_to_pai_execute.sh,file exists,
phase0_migration,explicit copy-plan template,PASS,reports/migration/approved_copy_manifest_template.tsv,file exists,
phase0_migration,PAI bootstrap restore entrypoint,PASS,scripts/migration/bootstrap_pai_physeditworld.sh,file exists,
phase0_migration,PAI bootstrap operator guide,PASS,docs/physeditworld_50h_pai_bootstrap.md,file exists,
phase0_migration,PAI restore-packet wrapper,PASS,scripts/migration/run_physeditworld_pai_restore_packet.sh,file exists,
phase0_migration,post-mount continuation wrapper,PASS,scripts/continue_physeditworld_after_mount.sh,file exists,
phase0_migration,post-mount continuation operator guide,PASS,docs/physeditworld_50h_post_mount_continue.md,file exists,
phase0_migration,PAI restore-packet summary,PASS,reports/migration/pai_restore_packet.md,file exists,
phase0_migration,external unblock-packet wrapper,PASS,scripts/migration/write_physeditworld_external_unblock_packet.sh,file exists,
phase0_migration,external unblock-packet summary,PASS,reports/migration/physeditworld_external_unblock_packet.md,file exists,
phase0_migration,H20 read-only migration audit bundle,PASS,reports/migration/migration_audit_bundle.json,decision=MIGRATION_AUDIT_BUNDLE_READY,
phase0_migration,PhysEditWorld GPU command policy audit,PASS,reports/physeditworld_50h/gpu_policy/gpu_command_policy_audit.json,decision=PHYS_EDITWORLD_GPU_COMMAND_POLICY_PASS,
phase0_migration,Git tracked artifact policy audit,PASS,reports/migration/git_artifact_policy_audit.json,decision=GIT_ARTIFACT_POLICY_PASS_WITH_SIZE_WARNINGS,
phase0_migration,expected empty manifest placeholders,PASS,reports/physeditworld_50h/manifest_init/empty_manifest_init.json,decision=PHYS_EDITWORLD_EMPTY_MANIFESTS_ALREADY_PRESENT,
phase0_migration,locked handoff sequence,BLOCKED,reports/migration/locked_handoff_sequence.json,decision=LOCKED_HANDOFF_BLOCKED_AT_ROOT_SCHEMA_PROBE,set PHYS_EDITWORLD_ROOTS to a strong root and rerun locked handoff sequence
phase0_migration,selected-root schema probe,BLOCKED,reports/migration/physeditworld_root_schema_probe.json,decision=PHYS_EDITWORLD_SCHEMA_PROBE_WAITING_FOR_ROOT,provide selected root and rerun schema probe
