sample_id,model_key,condition_id,template,camera_motion,seed,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_gt,medium_hard_loser_candidate,failure_tags,written_reason,psnr,ssim_global_proxy,sharpness_ratio_to_gt,R_total_proxy
02200_collision_orbit_right_64_seed41200,M0_original_fast,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,yes,event_missing;foreground_identity_loss;object_deform,Readable rollout; green object persists/deforms while GT removes it from view.,16.986570,0.886226,0.134145,0.739019
02200_collision_orbit_right_64_seed41200,M_B_camera_r8,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_candidate,event_missing;foreground_identity_loss,"Stable readable candidate generator; conservative failure, not primary loser source.",16.462586,0.871272,0.121776,0.726037
02200_collision_orbit_right_64_seed41200,M_C_camera_self_temporal_r4,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,yes,event_missing;object_deform;foreground_identity_loss,Clear medium-hard failure: object persists and changes shape while GT removes it.,17.011192,0.885893,0.135753,0.739454
02202_collision_orbit_right_64_seed41202,M0_original_fast,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,60630,1,1,1,1,0,1,1,1,yes,no,no,no,diagnostic_candidate,event_missing;wrong_camera;foreground_identity_loss,Readable but conservative physical/camera mismatch.,16.961862,0.751315,0.043001,0.624428
02202_collision_orbit_right_64_seed41202,M_B_camera_r8,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,60630,1,1,1,1,0,1,1,1,yes,no,no,no,diagnostic_candidate,event_missing;foreground_identity_loss,Readable baseline; error visible but not preferred loser source.,16.965778,0.751069,0.044553,0.624891
02202_collision_orbit_right_64_seed41202,M_C_camera_self_temporal_r4,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,60630,1,1,1,1,0,1,1,1,yes,no,no,no,yes,foreground_identity_loss;wrong_camera;event_missing,"Clear medium-hard mismatch: object trajectory/scale diverges from GT, especially late frame edge enlargement.",17.171751,0.756827,0.048630,0.618959
02222_collision_orbit_right_64_seed41222,M0_original_fast,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_candidate,event_missing;background_drift,Readable event mismatch with mild background/camera artifact.,14.388614,0.814392,0.117154,0.692975
02222_collision_orbit_right_64_seed41222,M_B_camera_r8,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_candidate,event_missing;background_drift,Stable readable baseline; not primary loser source.,14.553932,0.818779,0.131706,0.700984
02222_collision_orbit_right_64_seed41222,M_C_camera_self_temporal_r4,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,yes,event_missing;background_drift;foreground_identity_loss,Readable medium-hard failure: ball/cone remain visible and camera/background geometry drifts compared with GT.,14.648147,0.822610,0.123579,0.699966
02226_collision_orbit_right_64_seed41226,M0_original_fast,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_candidate,hallucinated_fragments;event_missing,Readable but contains extra fragments; diagnostic baseline.,17.052668,0.874722,0.073479,0.709358
02226_collision_orbit_right_64_seed41226,M_B_camera_r8,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_candidate,hallucinated_fragments;event_missing,Stable but extra objects remain; candidate generator rather than primary loser.,16.412123,0.868151,0.070676,0.704666
02226_collision_orbit_right_64_seed41226,M_C_camera_self_temporal_r4,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,60630,1,1,1,1,0,1,2,1,yes,no,no,no,yes,hallucinated_fragments;event_missing;foreground_identity_loss,Clear medium-hard failure: GT leaves cone-only scene while C keeps/generates green ball and pink fragments.,17.003370,0.882727,0.074738,0.714245
04204_containment_orbit_left_44_seed43204,M0_original_fast,v6_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_only,hallucinated_fragments;event_missing,Clear but over-generates many fragments; too degraded for DPO-ready.,15.782968,0.804674,0.359956,0.781015
04204_containment_orbit_left_44_seed43204,M_B_camera_r8,v6_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,60630,1,1,1,1,0,1,2,1,yes,no,no,no,diagnostic_only,hallucinated_fragments;event_missing,Readable but many hallucinated fragments; diagnostic only.,15.479010,0.791356,0.312841,0.755570
04204_containment_orbit_left_44_seed43204,M_C_camera_self_temporal_r4,v6_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,60630,1,1,1,1,0,1,2,1,yes,no,no,no,no,hallucinated_fragments;scene_overgeneration;event_missing,Too degraded for training pair: many extra balls/fragments throughout containment scene.,15.853322,0.798027,0.292386,0.751371
