sample_id,condition_id,template,camera_motion,model_key,model_label,adapter_path,adapter_exists,generated_full,generated_future,prefix_video,gt_future,contact_sheet,exists_future,exists_contact_sheet,file_size_mb,width,height,fps,num_frames,duration
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02200_collision_orbit_right_64_seed41200_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02200_collision_orbit_right_64_seed41200_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02200_collision_orbit_right_64_seed41200_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/contact_sheets/v6_02200_collision_orbit_right_64_seed41200_M0_original_fast_prefix_future.jpg,True,True,1.382,832,480,16.000,76,4.750
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02200_collision_orbit_right_64_seed41200_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02200_collision_orbit_right_64_seed41200_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02200_collision_orbit_right_64_seed41200_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/contact_sheets/v6_02200_collision_orbit_right_64_seed41200_M_B_camera_r8_prefix_future.jpg,True,True,1.464,832,480,16.000,76,4.750
02200_collision_orbit_right_64_seed41200,v6_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02200_collision_orbit_right_64_seed41200_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02200_collision_orbit_right_64_seed41200_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02200_collision_orbit_right_64_seed41200_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/contact_sheets/v6_02200_collision_orbit_right_64_seed41200_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,1.392,832,480,16.000,76,4.750
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02202_collision_orbit_right_64_seed41202_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02202_collision_orbit_right_64_seed41202_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02202_collision_orbit_right_64_seed41202_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/contact_sheets/v6_02202_collision_orbit_right_64_seed41202_M0_original_fast_prefix_future.jpg,True,True,0.995,832,480,16.000,76,4.750
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02202_collision_orbit_right_64_seed41202_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02202_collision_orbit_right_64_seed41202_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02202_collision_orbit_right_64_seed41202_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/contact_sheets/v6_02202_collision_orbit_right_64_seed41202_M_B_camera_r8_prefix_future.jpg,True,True,1.030,832,480,16.000,76,4.750
02202_collision_orbit_right_64_seed41202,v6_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02202_collision_orbit_right_64_seed41202_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02202_collision_orbit_right_64_seed41202_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02202_collision_orbit_right_64_seed41202_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/contact_sheets/v6_02202_collision_orbit_right_64_seed41202_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,1.006,832,480,16.000,76,4.750
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02222_collision_orbit_right_64_seed41222_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02222_collision_orbit_right_64_seed41222_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02222_collision_orbit_right_64_seed41222_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/contact_sheets/v6_02222_collision_orbit_right_64_seed41222_M0_original_fast_prefix_future.jpg,True,True,1.553,832,480,16.000,76,4.750
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_B_camera_r8,B camera-only rank8,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_B_camera_r8_train200_20260624_141215/checkpoints/small_lora_B_camera_r8_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02222_collision_orbit_right_64_seed41222_M_B_camera_r8.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02222_collision_orbit_right_64_seed41222_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/videos/v6_02222_collision_orbit_right_64_seed41222_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_B_camera_r8/contact_sheets/v6_02222_collision_orbit_right_64_seed41222_M_B_camera_r8_prefix_future.jpg,True,True,1.605,832,480,16.000,76,4.750
02222_collision_orbit_right_64_seed41222,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_C_camera_self_temporal_r4,C camera+self/temporal rank4,local_assets/experiments/small_lora_scope_sweep_20260624/train/small_lora_C_camera_self_r4_train200_20260624_141215/checkpoints/small_lora_C_camera_self_r4_train200_20260624_141215/high_only_phase/branches/step_000200/fast_stageA_high_noise_adapter,True,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02222_collision_orbit_right_64_seed41222_M_C_camera_self_temporal_r4.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02222_collision_orbit_right_64_seed41222_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/videos/v6_02222_collision_orbit_right_64_seed41222_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M_C_camera_self_temporal_r4/contact_sheets/v6_02222_collision_orbit_right_64_seed41222_M_C_camera_self_temporal_r4_prefix_future.jpg,True,True,1.588,832,480,16.000,76,4.750
02226_collision_orbit_right_64_seed41226,v6_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,M0_original_fast,Original Fast,,False,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02226_collision_orbit_right_64_seed41226_M0_original_fast.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02226_collision_orbit_right_64_seed41226_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/videos/v6_02226_collision_orbit_right_64_seed41226_prefix.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02226_collision_orbit_right_64_seed41226/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6/rollouts_available5/M0_original_fast/contact_sheets/v6_02226_collision_orbit_right_64_seed41226_M0_original_fast_prefix_future.jpg,True,True,1.307,832,480,16.000,76,4.750
