sample_id,clip_path,template,camera_id,seed
01052_drop_orbit_left_72_seed40052,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01052_drop_orbit_left_72_seed40052,drop,orbit_left_72,40052
01531_drop_orbit_left_72_seed40531,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01531_drop_orbit_left_72_seed40531,drop,orbit_left_72,40531
01597_drop_orbit_left_72_seed40597,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01597_drop_orbit_left_72_seed40597,drop,orbit_left_72,40597
02122_drop_orbit_left_72_seed41122,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02122_drop_orbit_left_72_seed41122,drop,orbit_left_72,41122
01177_drop_orbit_left_72_seed40177,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01177_drop_orbit_left_72_seed40177,drop,orbit_left_72,40177
03542_roll_orbit_right_60_seed42542,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03542_roll_orbit_right_60_seed42542,roll,orbit_right_60,42542
03427_roll_orbit_right_60_seed42427,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03427_roll_orbit_right_60_seed42427,roll,orbit_right_60,42427
03620_roll_orbit_right_60_seed42620,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03620_roll_orbit_right_60_seed42620,roll,orbit_right_60,42620
02512_collision_orbit_right_64_seed41512,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02512_collision_orbit_right_64_seed41512,collision,orbit_right_64,41512
02011_drop_orbit_left_72_seed41011,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02011_drop_orbit_left_72_seed41011,drop,orbit_left_72,41011
01098_drop_orbit_left_72_seed40098,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01098_drop_orbit_left_72_seed40098,drop,orbit_left_72,40098
03269_collision_strafe_left_180_seed42269,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/03269_collision_strafe_left_180_seed42269,collision,strafe_left_180,42269
02079_drop_orbit_left_72_seed41079,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02079_drop_orbit_left_72_seed41079,drop,orbit_left_72,41079
01103_drop_orbit_left_72_seed40103,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01103_drop_orbit_left_72_seed40103,drop,orbit_left_72,40103
01947_drop_orbit_left_72_seed40947,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01947_drop_orbit_left_72_seed40947,drop,orbit_left_72,40947
