pair_id,pair_type,corruption_type,severity,reward_winner,reward_loser,reward_margin,main_subreward_drop,PSNR,SSIM,LPIPS,sharpness_ratio,affected_region_diff,local_absdiff_mean,local_absdiff_p95,local_lpips,diff_bbox_area,visual_difference_score,codex_can_see_difference,codex_failure_explainable,too_subtle,too_degraded,medium_hard,status,winner_video,loser_video,prefix_video,written_reason
protocol_v4_TypeAplus_001_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,1.0,0.8246599871161201,0.1753400128838799,margin_bg,29.535685004061435,0.9897118489368695,BLOCKED_NOT_RUN,0.8947777062006667,9.147989827201783,9.147989827201783,29.604166666666664,BLOCKED_NOT_RUN,0.359375,0.08215243492037676,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_001_s4_strong_pass_background_drift_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_002_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,1.0,0.8251322807852606,0.17486771921473943,margin_cam,29.10729884489514,0.9884492230494352,BLOCKED_NOT_RUN,0.8974015599181139,9.530652522296545,9.530652522296545,30.375,BLOCKED_NOT_RUN,0.359375,0.0844898086191442,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_002_s4_strong_pass_wrong_camera_motion_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_003_s4_strong_pass_object_deformation_local,TypeA_plus,object_deformation_local,s4_strong_pass,1.0,0.8588653042215277,0.14113469577847226,margin_fg,47.92670093103418,0.9998529129968377,BLOCKED_NOT_RUN,0.9495850234529319,2.9609456278610073,2.9609456278610073,7.9375,BLOCKED_NOT_RUN,0.1283653846153846,0.015216422046723736,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_003_s4_strong_pass_object_deformation_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_004_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,1.0,0.8657593538374849,0.13424064616251508,margin_fg,33.12386207851711,0.9996333737701998,BLOCKED_NOT_RUN,0.987885299097139,14.9401439931856,14.9401439931856,17.729166666666664,BLOCKED_NOT_RUN,0.1283653846153846,0.04541598695365326,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_004_s4_strong_pass_object_identity_change_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_005_s4_strong_pass_partial_freeze,TypeA_plus,partial_freeze,s4_strong_pass,1.0,0.877420630185254,0.12257936981474604,margin_freeze,54.94073901425905,0.9977316104181049,BLOCKED_NOT_RUN,0.9838923899180775,5.8814644942519765,5.8814644942519765,14.520833333333334,BLOCKED_NOT_RUN,0.1283653846153846,0.028474719539563084,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_005_s4_strong_pass_partial_freeze/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_006_s4_strong_pass_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s4_strong_pass,1.0,0.8293631438854429,0.17063685611455714,margin_phys,68.30095964467117,0.9992378625214635,BLOCKED_NOT_RUN,0.9799063549191268,4.421686278557665,4.421686278557665,11.520833333333332,BLOCKED_NOT_RUN,0.15161758814102563,0.023661114396905193,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_006_s4_strong_pass_physical_event_local_failure/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_007_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,1.0,0.8246599871161201,0.1753400128838799,margin_bg,29.535685004061435,0.9897118489368695,BLOCKED_NOT_RUN,0.8947777062006667,9.147989827201783,9.147989827201783,29.604166666666664,BLOCKED_NOT_RUN,0.359375,0.08215243492037676,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_007_s4_strong_pass_background_drift_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_008_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,1.0,0.8251322807852606,0.17486771921473943,margin_cam,29.10729884489514,0.9884492230494352,BLOCKED_NOT_RUN,0.8974015599181139,9.530652522296545,9.530652522296545,30.375,BLOCKED_NOT_RUN,0.359375,0.0844898086191442,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_008_s4_strong_pass_wrong_camera_motion_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_009_s4_strong_pass_object_deformation_local,TypeA_plus,object_deformation_local,s4_strong_pass,1.0,0.8588653042215277,0.14113469577847226,margin_fg,47.92670093103418,0.9998529129968377,BLOCKED_NOT_RUN,0.9495850234529319,2.9609456278610073,2.9609456278610073,7.9375,BLOCKED_NOT_RUN,0.1283653846153846,0.015216422046723736,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_009_s4_strong_pass_object_deformation_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
protocol_v4_TypeAplus_010_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,1.0,0.8657593538374849,0.13424064616251508,margin_fg,33.12386207851711,0.9996333737701998,BLOCKED_NOT_RUN,0.987885299097139,14.9401439931856,14.9401439931856,17.729166666666664,BLOCKED_NOT_RUN,0.1283653846153846,0.04541598695365326,no,no,yes,no,no,VISUAL_TOO_SUBTLE,local_assets/dpo_prefix5_pairs_20260627_031729/clean_futures/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,local_assets/dpo_pair_hardness_v4/typeA_strength_sweep/protocol_v4_TypeAplus_010_s4_strong_pass_object_identity_change_local/loser_future.mp4,local_assets/dpo_prefix5_pairs_20260627_031729/conditions/02200_collision_orbit_right_64_seed41200/prefix_len5.mp4,VISUAL_TOO_SUBTLE: full-frame WIN/LOSE difference is hard to see without heatmap
