pair_id,condition_id,failure_type,severity,loser_video_path,status
v11_SYN_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,collision_response_failure_synthetic,0.35,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0001_02200_collision_orbit_right_64_seed41200_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,object_deformation_visible,0.4,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0002_02200_collision_orbit_right_64_seed41200_object_deformation_visible/loser_future.mp4,generated
v11_SYN_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,object_duplicate_or_fragment,0.45,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0003_02200_collision_orbit_right_64_seed41200_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,local_scene_patch_drift,0.5,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0004_02200_collision_orbit_right_64_seed41200_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_0005_02200_collision_orbit_right_64_seed41200_background_drift_visible,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,background_drift_visible,0.55,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0005_02200_collision_orbit_right_64_seed41200_background_drift_visible/loser_future.mp4,generated
v11_SYN_0006_02200_collision_orbit_right_64_seed41200_object_identity_color_shift,8df0c0d38a6c90fc524ddfb801df17e5445f60895b3a537f935e42e5806ab13c,object_identity_color_shift,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0006_02200_collision_orbit_right_64_seed41200_object_identity_color_shift/loser_future.mp4,generated
v11_SYN_0007_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,collision_response_failure_synthetic,0.4,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0007_02202_collision_orbit_right_64_seed41202_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,object_deformation_visible,0.45,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0008_02202_collision_orbit_right_64_seed41202_object_deformation_visible/loser_future.mp4,generated
v11_SYN_0009_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,object_duplicate_or_fragment,0.5,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0009_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_0010_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,local_scene_patch_drift,0.55,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0010_02202_collision_orbit_right_64_seed41202_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_0011_02202_collision_orbit_right_64_seed41202_background_drift_visible,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,background_drift_visible,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0011_02202_collision_orbit_right_64_seed41202_background_drift_visible/loser_future.mp4,generated
v11_SYN_0012_02202_collision_orbit_right_64_seed41202_object_identity_color_shift,4aeca92fd238b5299cd52999661a02787ae76fcabf943ef2e4e94d5c992c335f,object_identity_color_shift,0.65,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0012_02202_collision_orbit_right_64_seed41202_object_identity_color_shift/loser_future.mp4,generated
v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,02215_collision_strafe_left_180_seed41215,collision_response_failure_synthetic,0.45,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0013_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_0014_02215_collision_strafe_left_180_seed41215_object_deformation_visible,02215_collision_strafe_left_180_seed41215,object_deformation_visible,0.5,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0014_02215_collision_strafe_left_180_seed41215_object_deformation_visible/loser_future.mp4,generated
v11_SYN_0015_02215_collision_strafe_left_180_seed41215_object_duplicate_or_fragment,02215_collision_strafe_left_180_seed41215,object_duplicate_or_fragment,0.55,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0015_02215_collision_strafe_left_180_seed41215_object_duplicate_or_fragment/loser_future.mp4,generated
v11_SYN_0016_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift,02215_collision_strafe_left_180_seed41215,local_scene_patch_drift,0.6,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0016_02215_collision_strafe_left_180_seed41215_local_scene_patch_drift/loser_future.mp4,generated
v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,02215_collision_strafe_left_180_seed41215,background_drift_visible,0.65,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/loser_future.mp4,generated
v11_SYN_0018_02215_collision_strafe_left_180_seed41215_object_identity_color_shift,02215_collision_strafe_left_180_seed41215,object_identity_color_shift,0.35,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0018_02215_collision_strafe_left_180_seed41215_object_identity_color_shift/loser_future.mp4,generated
v11_SYN_0019_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,collision_response_failure_synthetic,0.5,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0019_02222_collision_orbit_right_64_seed41222_collision_response_failure_synthetic/loser_future.mp4,generated
v11_SYN_0020_02222_collision_orbit_right_64_seed41222_object_deformation_visible,19fca32ea8850d8171e9d24ffeaf03ea61694a23c026a9ab7b92ff61f3c61485,object_deformation_visible,0.55,local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0020_02222_collision_orbit_right_64_seed41222_object_deformation_visible/loser_future.mp4,generated
