pair_id,backend,frame_indices,num_frames,winner_video,loser_video,winner_distance_to_reference,loser_distance_to_reference,vjepa_margin,token_relation_winner,token_relation_loser,token_relation_margin,status,error_reason,seconds,scheme_id,sample_id,worse_than_step0,identity_worse,artifact_worse,written_reason,vjepa_margin_float,token_relation_margin_float
E02_best7_04214_containment_orbit_left_44_seed43214_step000_vs_step007,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step000/videos/04214_containment_orbit_left_44_seed43214_E02_best7_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step007/videos/04214_containment_orbit_left_44_seed43214_E02_best7_step007.mp4,0.0,0.0014988183975219727,0.0014988183975219727,0.0,0.05495079979300499,0.05495079979300499,ok,,26.86,E02_best7,04214_containment_orbit_left_44_seed43214,True,False,False,Final step007 keeps/extends extra objects and a white blob; final checkpoint is visually worse than step000.,0.0014988183975219727,0.05495079979300499
E02_best7_04279_containment_orbit_left_44_seed43279_step000_vs_step007,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step000/videos/04279_containment_orbit_left_44_seed43279_E02_best7_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step007/videos/04279_containment_orbit_left_44_seed43279_E02_best7_step007.mp4,0.0,0.0006732344627380371,0.0006732344627380371,0.0,0.04212713614106178,0.04212713614106178,ok,,17.576,E02_best7,04279_containment_orbit_left_44_seed43279,True,False,False,"Final step007 introduces visible right-edge color/fragment artifacts and foreground drift, worse than step000.",0.0006732344627380371,0.04212713614106178
E02_best7_04351_containment_orbit_left_44_seed43351_step000_vs_step007,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step000/videos/04351_containment_orbit_left_44_seed43351_E02_best7_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step007/videos/04351_containment_orbit_left_44_seed43351_E02_best7_step007.mp4,0.0,0.0012884140014648438,0.0012884140014648438,0.0,0.0512772798538208,0.0512772798538208,ok,,18.485,E02_best7,04351_containment_orbit_left_44_seed43351,True,False,False,Final step007 adds red/pink artifacts on the mat and worsens foreground object consistency.,0.0012884140014648438,0.0512772798538208
E02_best7_prefix5_anchored_1128e39109fc83_object_deformation_step000_vs_step007,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step000/videos/prefix5_anchored_1128e39109fc83_object_deformation_E02_best7_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E02_best7/rollouts/step007/videos/prefix5_anchored_1128e39109fc83_object_deformation_E02_best7_step007.mp4,0.0,0.0020655393600463867,0.0020655393600463867,0.0,0.0716087818145752,0.0716087818145752,ok,,21.895,E02_best7,prefix5_anchored_1128e39109fc83_object_deformation,True,False,False,Final step007 has magenta/orange fragments and object identity drift; worse than step000.,0.0020655393600463867,0.0716087818145752
E04_screen5_04214_containment_orbit_left_44_seed43214_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step000/videos/04214_containment_orbit_left_44_seed43214_E04_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step005/videos/04214_containment_orbit_left_44_seed43214_E04_screen5_step005.mp4,0.0,0.0014699697494506836,0.0014699697494506836,0.0,0.07038600742816925,0.07038600742816925,ok,,22.696,E04_screen5,04214_containment_orbit_left_44_seed43214,True,False,False,Step005 introduces distant duplicate foreground objects/green fragments in the background area; worse than step000.,0.0014699697494506836,0.07038600742816925
E04_screen5_04279_containment_orbit_left_44_seed43279_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step000/videos/04279_containment_orbit_left_44_seed43279_E04_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step005/videos/04279_containment_orbit_left_44_seed43279_E04_screen5_step005.mp4,0.0,0.0016990900039672852,0.0016990900039672852,0.0,0.054931920021772385,0.054931920021772385,ok,,16.566,E04_screen5,04279_containment_orbit_left_44_seed43279,True,False,False,Step005 adds extra dark foreground balls and text-like wall artifacts; worse than step000.,0.0016990900039672852,0.054931920021772385
E04_screen5_04351_containment_orbit_left_44_seed43351_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step000/videos/04351_containment_orbit_left_44_seed43351_E04_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step005/videos/04351_containment_orbit_left_44_seed43351_E04_screen5_step005.mp4,0.0,0.0013537406921386719,0.0013537406921386719,0.0,0.049207571893930435,0.049207571893930435,ok,,17.989,E04_screen5,04351_containment_orbit_left_44_seed43351,True,False,False,Step005 adds red duplicate balls and text-like artifact; worse than step000.,0.0013537406921386719,0.049207571893930435
E04_screen5_prefix5_anchored_1128e39109fc83_object_deformation_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step000/videos/prefix5_anchored_1128e39109fc83_object_deformation_E04_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E04_screen5/rollouts/step005/videos/prefix5_anchored_1128e39109fc83_object_deformation_E04_screen5_step005.mp4,0.0,0.002115011215209961,0.002115011215209961,0.0,0.07686781138181686,0.07686781138181686,ok,,21.095,E04_screen5,prefix5_anchored_1128e39109fc83_object_deformation,False,False,False,Step005 remains comparable to step000 on collision example; still not clearly improved.,0.002115011215209961,0.07686781138181686
E05_screen5_04214_containment_orbit_left_44_seed43214_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E05_screen5/rollouts/step000/videos/04214_containment_orbit_left_44_seed43214_E05_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E05_screen5/rollouts/step005/videos/04214_containment_orbit_left_44_seed43214_E05_screen5_step005.mp4,0.0,0.0017150640487670898,0.0017150640487670898,0.0,0.053277745842933655,0.053277745842933655,ok,,25.028,E05_screen5,04214_containment_orbit_left_44_seed43214,True,False,False,"Step005 introduces multiple red/white foreground fragments in later frames; step000 is more stable, so the checkpoint worsens this sample.",0.0017150640487670898,0.053277745842933655
E05_screen5_04279_containment_orbit_left_44_seed43279_step000_vs_step005,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 16, 26, 37, 48, 59, 69, 80], ""loser"": [5, 16, 26, 37, 48, 59, 69, 80], ""winner_kind"": ""full"", ""loser_kind"": ""full""}",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E05_screen5/rollouts/step000/videos/04279_containment_orbit_left_44_seed43279_E05_screen5_step000.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/objective_search/E05_screen5/rollouts/step005/videos/04279_containment_orbit_left_44_seed43279_E05_screen5_step005.mp4,0.0,0.0009922385215759277,0.0009922385215759277,0.0,0.03626668453216553,0.03626668453216553,ok,,16.488,E05_screen5,04279_containment_orbit_left_44_seed43279,False,False,False,Step005 is not clean but is roughly comparable or slightly better than step000; the wall/back artifact is reduced while foreground edge fragments remain.,0.0009922385215759277,0.03626668453216553
