module_name,group,rank_observed,shape,dtype,requires_grad_default,recommended_lora_group,memory_risk,module_regex,status
blocks.0.cam_injector_layer1,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.0\.cam_injector_layer1,HISTORICAL_RUNTIME_VERIFIED
blocks.0.cam_injector_layer2,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.0\.cam_injector_layer2,HISTORICAL_RUNTIME_VERIFIED
blocks.0.cam_scale_layer,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.0\.cam_scale_layer,HISTORICAL_RUNTIME_VERIFIED
blocks.0.cam_shift_layer,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.0\.cam_shift_layer,HISTORICAL_RUNTIME_VERIFIED
blocks.1.cam_injector_layer1,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.1\.cam_injector_layer1,HISTORICAL_RUNTIME_VERIFIED
blocks.1.cam_injector_layer2,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.1\.cam_injector_layer2,HISTORICAL_RUNTIME_VERIFIED
blocks.1.cam_scale_layer,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.1\.cam_scale_layer,HISTORICAL_RUNTIME_VERIFIED
blocks.1.cam_shift_layer,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.1\.cam_shift_layer,HISTORICAL_RUNTIME_VERIFIED
blocks.2.cam_injector_layer1,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.2\.cam_injector_layer1,HISTORICAL_RUNTIME_VERIFIED
blocks.2.cam_injector_layer2,camera_conditioning,4,NOT_STORED_IN_HISTORICAL_INVENTORY,NOT_STORED_IN_HISTORICAL_INVENTORY,False after LoRA wrapping; LoRA A/B true,camera_conditioning,low,blocks\.2\.cam_injector_layer2,HISTORICAL_RUNTIME_VERIFIED
