step,pair_id,objective_loss,dpo_loss,winner_improvement,loser_degradation,winner_contribution_ratio,lambda_loser,sigma,timestep_index,grad_norm,step_time_sec
1,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,0.7333419322967529,0.6931471824645996,0.0,0.0,0.0,0.0,0.9799292683601379,170,0.01817204360669856,195.07790422439575
2,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,0.742439866065979,0.6933015584945679,-0.0027199983596801758,-0.0003674924373626709,0.0,0.0,0.9855334162712097,128,0.024711944708618528,193.45073056221008
3,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,0.7322151064872742,0.6931507587432861,-0.00013145804405212402,5.9351325035095215e-05,0.0,0.0,0.9750123023986816,204,0.020229793569635262,193.06010270118713
4,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,0.7164669036865234,0.6928966641426086,0.0015343427658081055,0.003476172685623169,0.30622392892837524,1.0,0.9788044095039368,178,0.07449741192179576,193.56878304481506
5,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,0.7304940223693848,0.6931490302085876,3.387033939361572e-05,-7.040798664093018e-05,0.9997048377990723,1.0,0.952244758605957,334,0.013800815774681079,194.1865472793579
6,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,0.7239961624145508,0.6931326985359192,0.0006477236747741699,-0.00035774707794189453,0.9999845623970032,1.0,0.9835878014564514,143,0.017075475826728265,193.6653938293457
7,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,0.7059292793273926,0.6931481957435608,0.0003623105585575104,-0.0003822892904281616,0.9999723434448242,1.0,0.9855334162712097,128,0.002924620514464593,193.4931571483612
8,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,0.7129220962524414,0.6930923461914062,0.0005805343389511108,0.0005167871713638306,0.5290418863296509,1.0,0.9772261381149292,189,0.011357347974579659,193.69844365119934
9,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,0.7121570110321045,0.6931573152542114,-0.00025588274002075195,5.336105823516846e-05,0.0,0.0,0.9942135214805603,55,0.004861499865098094,192.68761563301086
10,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,0.7027053833007812,0.6931207776069641,0.00026558712124824524,0.0002618655562400818,0.503518283367157,1.0,0.9947643876075745,50,0.008769860467241783,192.9747142791748
11,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,0.6939568519592285,0.6931476593017578,-5.238689482212067e-06,-5.188398063182831e-06,0.0,0.0,0.9996991753578186,3,0.0002682133174176452,192.5778045654297
12,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,0.7257240414619446,0.693225085735321,-0.001229897141456604,-0.0003279745578765869,0.0,0.0,0.9698741436004639,237,0.02356602536358818,192.84775733947754
13,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,0.7361059188842773,0.6931092739105225,0.00047203898429870605,0.00028571486473083496,0.6229367852210999,1.0,0.9775158762931824,187,0.026134826893934312,192.9233591556549
14,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,0.72120201587677,0.6931442618370056,-0.00044514983892440796,0.0005024969577789307,0.0,0.0,0.9748619794845581,205,0.00896589130253518,192.6432728767395
15,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,0.7185713052749634,0.6930897235870361,0.0006842911243438721,0.00046521425247192383,0.5952866077423096,1.0,0.9788044095039368,178,0.006355841592909367,192.78148317337036
16,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,0.745725691318512,0.6931719183921814,0.0010478794574737549,-0.0015417933464050293,0.9999904632568359,1.0,0.9687339663505554,244,0.013478437879504337,192.90209245681763
17,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,0.7055248618125916,0.6931289434432983,1.7870217561721802e-05,0.0003461390733718872,0.0490914024412632,0.25,0.9899694919586182,92,0.004474206173245443,192.94181942939758
18,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,0.7208318114280701,0.6931241154670715,6.210803985595703e-05,0.0003997534513473511,0.1344703882932663,0.25,0.9677419066429138,250,0.005827211267777251,192.75779032707214
19,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,0.7378955483436584,0.6931411623954773,1.0013580322265625e-05,0.0001105964183807373,0.08301758021116257,0.25,0.9473994374275208,357,0.008633631058528754,192.87930727005005
20,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,0.7252156734466553,0.6931381225585938,-0.00026266276836395264,0.00044423341751098633,0.0,0.0,0.9631010890007019,277,0.010680395898716033,192.83079433441162
