rank,pair_id,template,camera_motion,winner_reward,loser_reward,reward_margin,sharpness_ratio_loser,main_failure_tag,winner_video,loser_video,prefix_video,written_reason
1,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,1.0,0.742494,0.257506,1.086457,event_extra_objects,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/prefix_len5.mp4,"clear drop/event failure with extra objects, readable and not collapsed"
2,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,drop,orbit_left_72,1.0,0.734487,0.265513,1.132169,foreground_identity_extra_objects,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01032_drop_orbit_left_72_seed40032/prefix_len5.mp4,drop scene has visible multi-object hallucination and event mismatch
3,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,drop,orbit_left_72,1.0,0.714367,0.285633,1.025742,foreground_identity_extra_objects,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01029_drop_orbit_left_72_seed40029_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01029_drop_orbit_left_72_seed40029/prefix_len5.mp4,"drop scene has clear extra colored objects/fragments, not blur-driven"
4,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,1.0,0.75176,0.24824,0.822156,collision_extra_objects,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02284_collision_orbit_right_64_seed41284_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02284_collision_orbit_right_64_seed41284/prefix_len5.mp4,collision scene has clear extra objects and event mismatch
5,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,1.0,0.80734,0.19266,0.683091,collision_event_failure,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/02276_collision_orbit_right_64_seed41276_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02276_collision_orbit_right_64_seed41276/prefix_len5.mp4,collision event is readable with bounded object/state error
6,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,roll,orbit_right_60,1.0,0.764163,0.235837,0.857681,roll_identity_event,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03437_roll_orbit_right_60_seed42437_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03437_roll_orbit_right_60_seed42437/prefix_len5.mp4,roll object identity/state differs visibly without blur/collapse
7,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,roll,orbit_right_60,1.0,0.78601,0.21399,1.103221,roll_identity_event,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03435_roll_orbit_right_60_seed42435_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03435_roll_orbit_right_60_seed42435/prefix_len5.mp4,roll object trajectory/identity diverges while video remains clear
8,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,roll,orbit_right_60,1.0,0.786585,0.213415,0.912503,physical_event_fragments,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/03418_roll_orbit_right_60_seed42418_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/03418_roll_orbit_right_60_seed42418/prefix_len5.mp4,roll event remains clear but has fragments and physical-event mismatch
9,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,containment,orbit_left_44,1.0,0.761031,0.238969,2.038958,containment_failure,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04204_containment_orbit_left_44_seed43204_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04204_containment_orbit_left_44_seed43204/prefix_len5.mp4,containment scene clear with extra/incorrect object state
10,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,containment,orbit_left_44,1.0,0.746935,0.253065,1.921363,containment_failure,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/clean_future_5_80.mp4,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04228_containment_orbit_left_44_seed43228_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/04228_containment_orbit_left_44_seed43228/prefix_len5.mp4,clear containment/foreground mismatch without collapse
