sample_id,model_key,checkpoint,template,camera_motion,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_winner,medium_hard_loser_candidate,failure_tags,written_reason,existing_typeB_gate_pass,existing_reject_reasons,video_path,contact_sheet_path
02200_collision_orbit_right_64_seed41200,original_fast,baseline,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02200_collision_orbit_right_64_seed41200_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02200_collision_orbit_right_64_seed41200.jpg
02202_collision_orbit_right_64_seed41202,original_fast,baseline,collision,orbit_right_64,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02202_collision_orbit_right_64_seed41202_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02202_collision_orbit_right_64_seed41202.jpg
02222_collision_orbit_right_64_seed41222,original_fast,baseline,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02222_collision_orbit_right_64_seed41222_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02222_collision_orbit_right_64_seed41222.jpg
02226_collision_orbit_right_64_seed41226,original_fast,baseline,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02226_collision_orbit_right_64_seed41226_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02226_collision_orbit_right_64_seed41226.jpg
04204_containment_orbit_left_44_seed43204,original_fast,baseline,containment,orbit_left_44,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04204_containment_orbit_left_44_seed43204_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04204_containment_orbit_left_44_seed43204.jpg
04209_containment_orbit_left_44_seed43209,original_fast,baseline,containment,orbit_left_44,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04209_containment_orbit_left_44_seed43209_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04209_containment_orbit_left_44_seed43209.jpg
04214_containment_orbit_left_44_seed43214,original_fast,baseline,containment,orbit_left_44,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04214_containment_orbit_left_44_seed43214_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04214_containment_orbit_left_44_seed43214.jpg
04228_containment_orbit_left_44_seed43228,original_fast,baseline,containment,orbit_left_44,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04228_containment_orbit_left_44_seed43228_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04228_containment_orbit_left_44_seed43228.jpg
01002_drop_orbit_left_72_seed40002,original_fast,baseline,drop,orbit_left_72,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01002_drop_orbit_left_72_seed40002_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01002_drop_orbit_left_72_seed40002.jpg
01008_drop_orbit_left_72_seed40008,original_fast,baseline,drop,orbit_left_72,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01008_drop_orbit_left_72_seed40008_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01008_drop_orbit_left_72_seed40008.jpg
01013_drop_orbit_left_72_seed40013,original_fast,baseline,drop,orbit_left_72,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01013_drop_orbit_left_72_seed40013_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01013_drop_orbit_left_72_seed40013.jpg
01014_drop_orbit_left_72_seed40014,original_fast,baseline,drop,orbit_left_72,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01014_drop_orbit_left_72_seed40014_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01014_drop_orbit_left_72_seed40014.jpg
03409_roll_orbit_right_60_seed42409,original_fast,baseline,roll,orbit_right_60,2,1,2,0,1,1,0,2,yes,no,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/03409_roll_orbit_right_60_seed42409_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_03409_roll_orbit_right_60_seed42409.jpg
03410_roll_orbit_right_60_seed42410,original_fast,baseline,roll,orbit_right_60,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/03410_roll_orbit_right_60_seed42410_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_03410_roll_orbit_right_60_seed42410.jpg
03413_roll_orbit_right_60_seed42413,original_fast,baseline,roll,orbit_right_60,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/03413_roll_orbit_right_60_seed42413_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_03413_roll_orbit_right_60_seed42413.jpg
03418_roll_orbit_right_60_seed42418,original_fast,baseline,roll,orbit_right_60,2,1,2,0,1,1,0,2,no,yes,no,baseline,no,baseline_reference,"Existing candidate_generator_v2 gate failed for this row; Codex inspected original overview this round. baseline reference, not a trained loser source",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/03418_roll_orbit_right_60_seed42418_original_fast.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_03418_roll_orbit_right_60_seed42418.jpg
02200_collision_orbit_right_64_seed41200,A_camera_r4,step050,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/02200_collision_orbit_right_64_seed41200_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_02200_collision_orbit_right_64_seed41200.jpg
02202_collision_orbit_right_64_seed41202,A_camera_r4,step050,collision,orbit_right_64,2,1,2,0,1,1,0,2,yes,no,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/02202_collision_orbit_right_64_seed41202_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_02202_collision_orbit_right_64_seed41202.jpg
02222_collision_orbit_right_64_seed41222,A_camera_r4,step050,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/02222_collision_orbit_right_64_seed41222_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_02222_collision_orbit_right_64_seed41222.jpg
02226_collision_orbit_right_64_seed41226,A_camera_r4,step050,collision,orbit_right_64,2,1,2,0,1,1,0,2,no,yes,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/02226_collision_orbit_right_64_seed41226_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_02226_collision_orbit_right_64_seed41226.jpg
04204_containment_orbit_left_44_seed43204,A_camera_r4,step050,containment,orbit_left_44,2,1,2,0,1,1,0,2,yes,no,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/04204_containment_orbit_left_44_seed43204_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_04204_containment_orbit_left_44_seed43204.jpg
04209_containment_orbit_left_44_seed43209,A_camera_r4,step050,containment,orbit_left_44,2,1,2,0,1,1,0,2,no,yes,no,yes,no,too_similar_to_winner;mild_physical_failure,"Existing candidate_generator_v2 gate failed for this row; Codex inspected A overview this round. stable and clear, but conservative; many samples are too similar to winner/GT for loser-source use",false,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/A_step050/videos/04209_containment_orbit_left_44_seed43209_A_step050.mp4,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/A_step050/contact_sheets/A_step050_04209_containment_orbit_left_44_seed43209.jpg
