blur_laplacian,contact_sheet,flicker_proxy,freeze_rate,model,reject_reasons,sample_id,typeB_quality_gate_pass,video_path,visual_inspection_status,written_reason
155.2785104535768,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02200_collision_orbit_right_64_seed41200.jpg,0.003441213312856789,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,02200_collision_orbit_right_64_seed41200,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02200_collision_orbit_right_64_seed41200_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
473.9911921322387,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02202_collision_orbit_right_64_seed41202.jpg,0.002790691340943223,0.0,original_fast,no_new_clear_medium_hard_visual_advantage,02202_collision_orbit_right_64_seed41202,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02202_collision_orbit_right_64_seed41202_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
258.00722184214186,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02222_collision_orbit_right_64_seed41222.jpg,0.0020669581630931963,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,02222_collision_orbit_right_64_seed41222,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02222_collision_orbit_right_64_seed41222_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
173.02127828640775,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_02226_collision_orbit_right_64_seed41226.jpg,0.004729042143776528,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,02226_collision_orbit_right_64_seed41226,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/02226_collision_orbit_right_64_seed41226_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
331.06820648888555,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04204_containment_orbit_left_44_seed43204.jpg,0.005366204069971869,0.0,original_fast,no_new_clear_medium_hard_visual_advantage,04204_containment_orbit_left_44_seed43204,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04204_containment_orbit_left_44_seed43204_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
195.27001181036619,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04209_containment_orbit_left_44_seed43209.jpg,0.006262215747728021,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,04209_containment_orbit_left_44_seed43209,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04209_containment_orbit_left_44_seed43209_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
441.1244354612063,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04214_containment_orbit_left_44_seed43214.jpg,0.004783893494918251,0.0,original_fast,no_new_clear_medium_hard_visual_advantage,04214_containment_orbit_left_44_seed43214,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04214_containment_orbit_left_44_seed43214_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
543.8357762645543,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_04228_containment_orbit_left_44_seed43228.jpg,0.002980409260426027,0.0,original_fast,no_new_clear_medium_hard_visual_advantage,04228_containment_orbit_left_44_seed43228,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/04228_containment_orbit_left_44_seed43228_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
247.62660531957414,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01002_drop_orbit_left_72_seed40002.jpg,0.0035425155055733622,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,01002_drop_orbit_left_72_seed40002,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01002_drop_orbit_left_72_seed40002_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
295.4663609471115,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/video_audit_screen/original_fast/contact_sheets/original_fast_01008_drop_orbit_left_72_seed40008.jpg,0.0033316806518128204,0.0,original_fast,sharpness_or_freeze_gate_failed;no_new_clear_medium_hard_visual_advantage,01008_drop_orbit_left_72_seed40008,false,local_assets/overnight_quant_lora_dpo_20260624_overnight_test/screen16_rollouts/original_fast/videos/01008_drop_orbit_left_72_seed40008_original_fast.mp4,codex_overview_inspected,overview inspected; no clearly sharper medium-hard TypeB loser versus Original Fast
