pair_id,pair_type,backend,E_ref_winner,E_ref_loser,Delta_ref,E_policy_winner,E_policy_loser,Delta_policy,reward_margin,visual_validity,corruption_type,energy_status
protocol_v1_A_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.17999999999999994,0.17999999999999994,,,,0.18,True,background_drift_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.19999999999999996,0.19999999999999996,,,,0.19999999999999998,True,wrong_camera_motion_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.21999999999999997,0.21999999999999997,,,,0.22,True,object_deformation_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.24,0.24,,,,0.24,True,object_identity_change_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_005_02200_collision_orbit_right_64_seed41200_reobserve_mismatch_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.26,0.26,,,,0.26,True,reobserve_mismatch_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_006_02200_collision_orbit_right_64_seed41200_partial_freeze,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.17999999999999994,0.17999999999999994,,,,0.18,True,partial_freeze,proxy_only_runtime_full_energy_not_run
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.19999999999999996,0.19999999999999996,,,,0.19999999999999998,True,physical_event_local_failure,proxy_only_runtime_full_energy_not_run
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.21999999999999997,0.21999999999999997,,,,0.22,True,background_drift_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.24,0.24,,,,0.24,True,wrong_camera_motion_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_010_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.26,0.26,,,,0.26,True,object_deformation_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_011_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.17999999999999994,0.17999999999999994,,,,0.18,True,object_identity_change_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_012_02202_collision_orbit_right_64_seed41202_reobserve_mismatch_local,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.19999999999999996,0.19999999999999996,,,,0.19999999999999998,True,reobserve_mismatch_local,proxy_only_runtime_full_energy_not_run
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.21999999999999997,0.21999999999999997,,,,0.22,True,partial_freeze,proxy_only_runtime_full_energy_not_run
protocol_v1_A_014_02202_collision_orbit_right_64_seed41202_physical_event_local_failure,local_corruption,reward_proxy_pending_real_all_pair_energy,0.0,0.24,0.24,,,,0.24,True,physical_event_local_failure,proxy_only_runtime_full_energy_not_run
